N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,0.00027000000000000006,0.00039000000000000005,0.00023500000000000005,0.0003424543765233553,0.0008100000000000002,0.000681102048154313,0.00016548823920266734,0.0002792020140799704,0.00021351669394979386,0.0003224329136731527,0.0005126210392199051,0.0004745130249642128,0.0005292201695763474,0.0004912631699596232,0.00022637299401605823,0.0003519005989588502
0.07,0.000742857142857143,0.0005502318620734503,0.0007892857142857142,0.0005256070348673435,0.0024892857142857143,0.000912575129699982,0.0006652262364359233,0.0005086988307733595,0.0007994485708798474,0.0005907370728805028,0.0015181775743510267,0.0007817609620088006,0.001952395910599428,0.0007818125853202285,0.000782319729292559,0.0005326224056042139
0.09,0.0018333333333333333,0.0006655082528172745,0.0018333333333333333,0.0007432826755699807,0.006172222222222221,0.0013002730007745334,0.0016754608491398079,0.0006518429573457117,0.0019168683983203617,0.0007940388874675729,0.0037807010275768727,0.0010831473259397323,0.004476630866367761,0.001194081396936495,0.0018423933905794962,0.0007253894578676254
0.11,0.0037772727272727276,0.0010223635716941762,0.0036454545454545455,0.0009880065914726422,0.012336363636363637,0.0014135121254964954,0.003564612611893156,0.000904691499049174,0.004134364539858418,0.0010973969112809318,0.007200422806945147,0.001262547634487716,0.008861811835284682,0.0012723505674727084,0.0038207927138839766,0.0010167392544650291
0.13,0.006942307692307693,0.0011191911174578048,0.006390384615384615,0.0011314672753846098,0.021267307692307686,0.0019926074544314096,0.006214440450031024,0.0011983729353939904,0.007103564212720541,0.0013514364126224019,0.012346743513318572,0.001486179325494332,0.015221719602344717,0.0016664047557634505,0.006856040133627186,0.0011216304638004676
0.15,0.010784999999999998,0.001266512051967046,0.010156666666666668,0.0014143746164137548,0.033295,0.0024194644724263533,0.010062629436580936,0.0012598393295525814,0.011071058749480406,0.0014106334378068076,0.020028716503405767,0.0018059390820416013,0.024298482312900722,0.0020238598097605063,0.011037282965210471,0.0014193626882197082
0.17,0.016222058823529412,0.0018339001823689132,0.01470882352941176,0.0013059254099949923,0.047930882352941184,0.0028897156114190362,0.015156009877026557,0.001573404235182599,0.016017298743999667,0.0015019341034467474,0.028946692690990806,0.002301422717702698,0.03559462032628915,0.0022857757766866667,0.01664276271105013,0.0016817424901380954
0.19,0.023031578947368424,0.001956762547574444,0.020657894736842108,0.0015479411757739728,0.06552105263157895,0.0036376722336926392,0.020970039590420975,0.001720194578190376,0.022726409500592924,0.0019565090163055046,0.040537313676611744,0.002151731181436679,0.04961337109186456,0.002441481591540571,0.023250529175102633,0.0017893500047621554
0.21,0.03154404761904762,0.002237744083394354,0.027488095238095242,0.001646175048483433,0.08664047619047618,0.003295601927340749,0.028793374784815976,0.0019365991867662088,0.030862870758841913,0.002035666881288279,0.05442748006145745,0.002929524955055451,0.0663934170610587,0.002955305834318974,0.031873630731360764,0.002024923890331273
0.23,0.041091304347826076,0.002240181264607549,0.03539347826086957,0.0017544017016672255,0.11065760869565221,0.003303467238213639,0.0381502555835015,0.0024147134663930255,0.040351683250657105,0.0021462036486757873,0.07030694599906463,0.002817406390870729,0.08546254077053952,0.003271281867747823,0.04142515611675583,0.0021529938123773435
0.25,0.052983,0.0023948300566010946,0.043762999999999996,0.0018521692687224892,0.135788,0.0035815996426178057,0.0489230901581408,0.0023118050179882933,0.05054683536240451,0.0024524721678696525,0.08887806430692675,0.003116981454770518,0.10632135806366177,0.002801185388535705,0.05362819789006247,0.002641891201302909
